episode_id,group,warn,n_steps,duration_s,has_raw_policy_delta_diag,swing_start_median_rad,swing_end_median_rad,swing_min_rad,swing_p01_rad,swing_median_rad,swing_p99_rad,swing_max_rad,swing_range_rad,swing_max_abs_step_rad,boom_start_median_rad,boom_end_median_rad,boom_min_rad,boom_p01_rad,boom_median_rad,boom_p99_rad,boom_max_rad,boom_range_rad,boom_max_abs_step_rad,stick_start_median_rad,stick_end_median_rad,stick_min_rad,stick_p01_rad,stick_median_rad,stick_p99_rad,stick_max_rad,stick_range_rad,stick_max_abs_step_rad,bucket_start_median_rad,bucket_end_median_rad,bucket_min_rad,bucket_p01_rad,bucket_median_rad,bucket_p99_rad,bucket_max_rad,bucket_range_rad,bucket_max_abs_step_rad,max_abs_step_any_axis_rad
26,pre_diag_26_43,False,1335,66.690158208,False,3.789109706878662,3.8570029735565186,3.7676422595977783,3.7716562747955322,4.025427341461182,6.288592185974121,6.302523612976074,2.534881353378296,0.030892372131347656,0.09162978827953339,0.25769786536693573,-0.09128072112798691,-0.03507762767374516,0.25883233547210693,0.27829554140567786,0.2973342835903168,0.3886150047183037,0.05895722098648548,-0.752411425113678,-0.7585200667381287,-0.8004080057144165,-0.7635221767425537,-0.7553784847259521,-0.7450810277462006,-0.7015175819396973,0.09889042377471924,0.037001073360443115,-0.5578072667121887,0.9981537461280823,-1.828057885169983,-1.828057885169983,-0.558854341506958,1.0011208057403564,1.0068804025650024,2.8349382877349854,0.1362055540084839,0.1362055540084839
29,pre_diag_26_43,False,1147,57.318926496,False,3.786491870880127,3.8608254194259644,3.7561228275299072,3.7633271074295043,3.871943235397339,6.145827770233154,6.154938697814941,2.398815870285034,0.044156551361083984,0.11327186226844788,0.2665117681026459,-0.08936085551977158,-0.07941247522830963,0.2640683054924011,0.2950583714246749,0.3525564968585968,0.4419173523783684,0.04457571357488632,-0.7630579471588135,-0.7622725367546082,-0.7714354991912842,-0.7682136368751525,-0.7620106935501099,-0.7461142718791962,-0.7054620981216431,0.06597340106964111,0.026389360427856445,-0.5542816519737244,0.45980697870254517,-1.919338583946228,-1.919338583946228,-0.5305452346801758,0.5936004388332367,0.5984733700752258,2.517811954021454,0.07099997997283936,0.07099997997283936
30,pre_diag_26_43,False,1034,51.631027744,False,3.7790740728378296,3.879692316055298,3.7436611652374268,3.7618825435638428,3.8756779432296753,6.242287106513977,6.266953468322754,2.523292303085327,0.06248283386230469,0.14206978678703308,0.25968754291534424,-0.10876891762018204,-0.08755967274308205,0.32044243812561035,0.35698964476585376,0.39339718222618103,0.5021660998463631,0.04726351797580719,-0.7600908875465393,-0.7582582831382751,-0.779987633228302,-0.7727166128158569,-0.7609635591506958,-0.7452555894851685,-0.7283259034156799,0.05166172981262207,0.021642088890075684,-0.5564109683036804,0.02068215887993574,-1.9126017093658447,-1.9126017093658447,0.15559609234333038,0.8805779528617859,0.8922123312950134,2.804814040660858,0.0713491439819336,0.0713491439819336
32,pre_diag_26_43,False,1105,55.219945056,False,3.763889789581299,3.8746310472488403,3.7215654850006104,3.7367498874664307,3.8779470920562744,6.328214645385742,6.3509039878845215,2.629338502883911,0.07284975051879883,0.11065386980772018,0.22053979337215424,-0.12112585455179214,-0.09861110150814056,0.2551671266555786,0.30437146067619325,0.33684852719306946,0.4579743817448616,0.05815436877310276,-0.7383615076541901,-0.7358307838439941,-0.7634069919586182,-0.7529140496253968,-0.7393214702606201,-0.7199692344665527,-0.6991788744926453,0.0642281174659729,0.019896745681762695,-0.5707575678825378,0.7902850806713104,-1.782400131225586,-1.782400131225586,0.1469217836856842,0.9843656420707703,0.9955357909202576,2.7779359221458435,0.06489133834838867,0.07284975051879883
33,pre_diag_26_43,False,951,47.487995584,False,3.8018505573272705,3.9796124696731567,3.7578682899475098,3.7673105001449585,4.057541370391846,6.174363613128662,6.180211067199707,2.4223427772521973,0.05078887939453125,0.13631021976470947,0.26345744729042053,-0.10908307880163193,-0.09416051208972931,0.26424282789230347,0.29251717031002045,0.33405601978302,0.44313909858465195,0.04091052711009979,-0.7412413358688354,-0.7406304776668549,-0.7922398447990417,-0.7564257085323334,-0.7417649030685425,-0.7264060080051422,-0.7234389185905457,0.0688009262084961,0.03511601686477661,-0.5604601502418518,0.6699446141719818,-1.9434939622879028,-1.940108060836792,0.16779595613479614,0.6768386662006378,0.6862635016441345,2.6297574639320374,0.11466813087463379,0.11466813087463379
34,pre_diag_26_43,False,1028,51.342854816,False,3.800541639328003,3.8713146448135376,3.7566463947296143,3.7716562747955322,3.87227463722229,6.299711117744446,6.318091869354248,2.561445474624634,0.045029640197753906,0.13753193616867065,0.18744835257530212,-0.12740902602672577,-0.09300335936248302,0.31206485629081726,0.3492927169799805,0.36456435918807983,0.4919733852148056,0.040805794298648834,-0.7439465820789337,-0.7395832538604736,-0.7641050815582275,-0.7535860639810562,-0.742637574672699,-0.726802203655243,-0.6939778327941895,0.07012724876403809,0.02652895450592041,-0.5700942873954773,0.9745045900344849,-1.8731920719146729,-1.8731920719146729,0.32882003486156464,1.0431082499027253,1.0831513404846191,2.956343412399292,0.12646663188934326,0.12646663188934326
35,pre_diag_26_43,False,1100,54.957564832,False,3.8094427585601807,3.8359718322753906,3.7631044387817383,3.780034065246582,3.852988839149475,6.13990330696106,6.150365352630615,2.387260913848877,0.05148744583129883,0.12173671275377274,0.16763886064291,-0.1589994877576828,-0.12134401015937328,0.3942698836326599,0.42254592686891557,0.46038293838500977,0.6193824261426926,0.05633922666311264,-0.7462155222892761,-0.7439465522766113,-0.782256543636322,-0.7597470194101333,-0.7447319626808167,-0.7281478309631347,-0.7131415009498596,0.0691150426864624,0.01972222328186035,-0.5649980306625366,0.4412192404270172,-1.7819463014602661,-1.7819463014602661,0.14269811660051346,0.9779079556465149,0.9871582388877869,2.769104540348053,0.10307919979095459,0.10307919979095459
36,pre_diag_26_43,False,1095,54.686429664,False,3.7788121700286865,3.8296886682510376,3.7372384071350098,3.757672824859619,3.820700168609619,6.257364730834961,6.270269393920898,2.5330309867858887,0.05567598342895508,0.14093533903360367,0.1275835707783699,-0.15271630883216858,-0.1394622740149498,0.19495327770709991,0.23928463459014893,0.27401667833328247,0.42673298716545105,0.04300491325557232,-0.7480480670928955,-0.7441211044788361,-0.7723081707954407,-0.7543417620658874,-0.746128261089325,-0.727791805267334,-0.7056366205215454,0.06667155027389526,0.035325467586517334,-0.5615422129631042,0.6230825185775757,-1.7841804027557373,-1.7837635970115662,0.3546508848667145,1.1041817808151235,1.1659497022628784,2.9501301050186157,0.0921533852815628,0.0921533852815628
38,pre_diag_26_43,False,926,46.245395136,False,3.79958176612854,3.8404223918914795,3.7613589763641357,3.773925304412842,3.8354307413101196,6.211015701293945,6.226461887359619,2.4651029109954834,0.0677189826965332,0.13063789159059525,0.10192722454667091,-0.15924383699893951,-0.13609205186367035,0.16982053220272064,0.20952676236629486,0.23980823159217834,0.39905206859111786,0.050300393253564835,-0.749531626701355,-0.7472626864910126,-0.7628834247589111,-0.7607890218496323,-0.7482226490974426,-0.7200791984796524,-0.6723357439041138,0.09054768085479736,0.026773393154144287,-0.5584355592727661,1.03131502866745,-1.7935004234313965,-1.7935004234313965,-0.12548918277025223,1.0543097257614136,1.0691887140274048,2.8626891374588013,0.17083275318145752,0.17083275318145752
39,pre_diag_26_43,False,1111,55.497596777,False,3.785531759262085,3.848189115524292,3.7496652603149414,3.763296389579773,3.7991278171539307,6.258383941650391,6.279694557189941,2.530029296875,0.06073760986328125,0.10506881773471832,0.16804029792547226,-0.13578660786151886,-0.10246828347444535,0.15184363722801208,0.19267737120389938,0.22218041121959686,0.3579670190811157,0.04935791343450546,-0.7047639489173889,-0.7026695013046265,-0.7191105484962463,-0.7117452621459961,-0.7047639489173889,-0.687066316604614,-0.6518804430961609,0.06723010540008545,0.026354491710662842,-0.5878269076347351,1.0321004390716553,-1.9591670036315918,-1.958433985710144,0.0800756886601448,1.0500947594642642,1.0713180303573608,3.0304850339889526,0.11711156368255615,0.11711156368255615
40,pre_diag_26_43,False,973,48.614522379,False,3.792513132095337,3.8456584215164185,3.740415096282959,3.769862356185913,3.8138585090637207,6.202418594360352,6.214942932128906,2.4745278358459473,0.07990121841430664,0.13177235424518585,0.10131635889410973,-0.13299408555030823,-0.0996303728222847,0.17777922749519348,0.2671331059932709,0.30717796087265015,0.4401720464229584,0.04660029709339142,-0.7063347697257996,-0.7042403817176819,-0.7276277542114258,-0.7255822324752808,-0.7070328593254089,-0.6908292293548585,-0.6749188303947449,0.05270892381668091,0.025481820106506348,-0.5694311857223511,0.9502620100975037,-1.5052069425582886,-1.5052069425582886,0.3593633472919464,1.1418293714523315,1.1418293714523315,2.64703631401062,0.08618432283401489,0.08618432283401489
41,pre_diag_26_43,False,811,40.503761017,False,3.7823028564453125,3.702803134918213,3.6722772121429443,3.68984215259552,3.792600154876709,6.179477596282959,6.185097694396973,2.5128204822540283,0.11522674560546875,0.08473573252558708,0.1354026421904564,-0.1408480703830719,-0.10531316548585892,0.17645278573036194,0.21969157606363296,0.2560397982597351,0.396887868642807,0.048973940312862396,-0.7093018293380737,-0.7061601877212524,-0.7230899333953857,-0.7191977858543396,-0.7091272473335266,-0.691691392660141,-0.6775367856025696,0.04555314779281616,0.018151462078094482,-0.5852437615394592,0.8900306522846222,-1.4778051376342773,-1.4768277406692505,0.496581107378006,1.1213042736053467,1.1213042736053467,2.599109411239624,0.08189082145690918,0.11522674560546875
